F1_H1	F1_H2	F1_H3	F1_N1	F1_N2	F1_N3	F2_H1	F2_H2	F2_H3	F2_N1	F2_N2	F2_N3	F3_H1	F3_H2	F3_H3	F3_N1	F3_N2	F3_N3
NUDT4P1	8.63589655241591	8.71787626368775	8.64464174650817	9.18353579057741	8.94020119916183	9.12512074294121	9.06189524667806	8.99183637817114	9.01448699408194	9.83199404201237	9.77038755312601	9.75482931126482	8.1675596923024	8.33189774459394	7.96659382337249	8.64337090666232	8.61758332140399	8.49220317036546
RNVU1-18	10.7963167757584	10.644845268336	10.2145051467676	10.5734260554972	10.8411931203172	10.7923164607505	9.39037994986791	9.76748216333675	9.20567111862369	9.27898891056845	9.17139935214814	9.63558397940001	10.4975606318211	11.3593718375048	11.1377497131564	11.3574419283854	10.9379908041387	10.988981187402
CH17-408M7.1	4.12106799886407	3.87891197612566	3.86275090498421	4.12288488627421	4.09321262084878	4.15655162769889	4.14496792902608	3.53018415437536	4.41548660357576	4.32232679195006	4.22298228514672	4.25091063321822	4.31469544781854	3.82522575909536	4.51331096766095	4.31127043112374	4.21074179936768	4.13979207836227
HYDIN2	1.87081062561238	2.14749183934419	1.45253879568461	1.88473614493995	1.55460013390652	1.83901230433	1.51380223093057	1.49015777712335	2.11870854804773	1.66763502330357	2.67943516180903	1.64987367615556	1.6043364887716	2.11351761668495	1.94478430274807	2.06352325451147	1.90480852912468	1.96852054676175
LOC100132057	2.86559373537004	2.42200138493997	2.7719174852406	3.20873393880848	3.20438916927991	2.86467485299864	4.01704521229077	3.03666061412189	4.62300839978118	3.99736412782925	3.62914209588353	3.57675131546319	3.09262029862553	3.01255871678449	3.45995810467709	3.0609730568915	3.11141658763373	3.05858201385185
RNVU1-3	2.47150605384164	2.85980517318296	2.61696209623152	2.37877635051823	2.19234646908103	2.65656166746003	1.81289398997008	2.04859649992725	2.12868944621464	2.3486924504157	1.97264766558285	2.1736429956349	2.48041353714732	2.29939693919502	2.89387823377569	2.54910379107715	2.71656841290822	2.2021939991632
MIR4257	2.26970980752428	3.18739442545466	2.70091080831295	2.89249209317001	3.25757475980574	2.61813268288141	3.38938316428572	4.10031032208102	3.14664634572374	3.1296420417908	2.88612478681782	3.05672307228853	2.89352671061449	2.84490908368696	2.84665760308263	2.56462478050125	3.02636100057875	2.52427593496725
GBAT2	2.46017896008382	2.56497494918468	2.76547473402513	2.86597494167228	2.78558325205879	2.96301577117577	2.16280076065323	2.62543427819032	2.2814089914497	2.18875621662018	3.22071488494541	2.92423226338789	3.34048883918298	2.49675395205756	2.57142294855485	2.57596336264673	2.48874902299174	2.53471618222657
MIR554	1.17898179510042	1.09458258503998	0.814827683013423	0.880195069222225	1.3946384665317	0.766352951806108	0.633225972633103	1.14449156611171	1.29598398978393	1.10656303153204	1.27366961207665	1.13024833569457	0.910476758199933	0.710589712977488	1.57797187117656	1.08740171283479	1.0567090100029	1.52161952804021
LOC343052	3.20288533308658	3.38481595486576	3.69224240252319	4.02140689076628	3.43808310659185	3.78086274633139	3.70322409738974	3.7267162103997	3.16178630010394	3.81915457741349	3.27900420776852	3.81749650256977	3.63134095672212	3.72939061255407	3.73111150784195	3.71523416039597	3.92206244496493	4.04681934046319
